Fecha,Cierre
1,"51,060.05"
2,"51,136.62"
3,"52,798.38"
4,"51,889.66"
5,"51,309.84"
6,"51,977.96"
7,"51,432.54"
8,"50,811.30"
9,"49,492.52"
10,"50,597.29"
11,"51,213.48"
12,"52,379.37"
13,"52,853.38"
14,"53,272.44"
15,"53,202.11"
16,"53,744.92"
17,"51,599.38"
18,"50,661.86"
19,"51,255.31"
20,"53,229.26"
21,"52,281.53"
22,"52,555.60"
23,"53,322.05"
24,"53,300.70"
25,"55,467.06"
26,"55,436.05"
27,"56,609.54"
28,"54,687.25"
29,"54,172.62"
30,"53,191.78"
31,"51,417.97"
32,"49,541.81"
33,"49,579.90"
34,"51,518.30"
35,"52,463.55"
36,"50,689.05"
37,"48,471.52"
38,"48,016.23"
39,"47,741.50"
40,"47,743.15"
41,"47,582.11"
42,"47,075.87"
43,"47,264.86"
44,"48,144.33"
45,"46,723.43"
46,"48,853.37"
47,"48,463.26"
48,"47,272.11"
49,"45,888.63"
50,"47,042.94"
51,"46,769.78"