Días septiembre ,Precio Fibras MTY stock
1,11.924
2,12.003
3,11.934
4,11.924
5,11.924
6,11.924
7,11.934
8,11.944
9,11.973
10,11.973
11,11.963
12,11.963
13,11.924
14,11.963
15,11.953
16,11.973
17,11.934
18,11.944
19,11.934
20,11.953
21,11.924
22,11.944
23,11.934
24,11.983
25,12.063
26,11.987
27,11.997
28,11.977
29,11.987
30,12.007
31,12.017
32,12.067
33,12.136
34,12.15
35,12.14
36,12.14
37,12.16
38,12.2
39,12.2
40,12.22
41,12.24
42,12.2
43,12.21
44,12.23